22:47:20:871 INFO (Main.Main$1): Log start mit Level.ALL .
22:47:20:914 DEBUG(Main.Main$1): Starte Ladescreen.
22:47:22:015 DEBUG(File.XLS.XLSOverviewForge): Lese OverviewTemplate.
22:47:22:020 DEBUG(File.XLS.XLSRaidForge): Lese RaidTemplate.
22:47:22:023 DEBUG(File.XLS.XLSBookForge): Durchsuche Data Dir.
22:47:22:025 INFO (File.XLS.XLSBookForge): 
Data List:  ----------------------
	data_2014_015_22_31_56.xls

22:47:22:027 INFO (File.XLS.XLSBookForge): Teste Datei:data_2014_015_22_31_56.xls
22:47:22:028 INFO (File.XLS.XLSBookForge): Lese Book aus "data_2014_015_22_31_56.xls" .
22:47:22:427 DEBUG(File.XLS.XLSOverviewForge): Lese Overview.
22:47:22:428 DEBUG(File.XLS.XLSOverviewForge): Lese Spieler Revayn
22:47:22:429 DEBUG(File.XLS.XLSOverviewForge): Lese Spieler 3_2014_195827_895
22:47:22:430 DEBUG(File.XLS.XLSOverviewForge): Lese Spieler Phexo
22:47:22:431 DEBUG(File.XLS.XLSOverviewForge): Lese Spieler Eisenbeisser
22:47:22:432 DEBUG(File.XLS.XLSOverviewForge): Lese Spieler 338_2013_223835_769
22:47:22:433 DEBUG(File.XLS.XLSOverviewForge): Lese Spieler Deytrana
22:47:22:435 DEBUG(File.XLS.XLSOverviewForge): Lese Spieler Andor
22:47:22:437 DEBUG(File.XLS.XLSOverviewForge): Lese Spieler Yasie
22:47:22:438 DEBUG(File.XLS.XLSOverviewForge): Lese Spieler Quara
22:47:22:439 DEBUG(File.XLS.XLSOverviewForge): Lese Spieler Celiska
22:47:22:440 DEBUG(File.XLS.XLSOverviewForge): Lese Spieler Felinchen
22:47:22:441 DEBUG(File.XLS.XLSOverviewForge): Lese Spieler Alisea
22:47:22:442 DEBUG(File.XLS.XLSOverviewForge): Lese Spieler Airra
22:47:22:443 DEBUG(File.XLS.XLSOverviewForge): Lese Spieler 15_2014_212854_40
22:47:22:444 DEBUG(File.XLS.XLSOverviewForge): Lese Spieler 226_2013_10373_656
22:47:22:445 DEBUG(File.XLS.XLSOverviewForge): Lese Spieler 361_2013_20161_809
22:47:22:446 DEBUG(File.XLS.XLSOverviewForge): Lese Spieler Thamia
22:47:22:447 DEBUG(File.XLS.XLSOverviewForge): Lese Spieler Dave
22:47:22:447 DEBUG(File.XLS.XLSOverviewForge): Lese Spieler 260_2013_153420_61
22:47:22:448 DEBUG(File.XLS.XLSOverviewForge): Lese Spieler 361_2013_201429_457
22:47:22:449 DEBUG(File.XLS.XLSOverviewForge): Lese Spieler Mechanikus
22:47:22:450 DEBUG(File.XLS.XLSOverviewForge): Lese Spieler 317_2013_20335_418
22:47:22:451 DEBUG(File.XLS.XLSOverviewForge): Lese Spieler Thakrio
22:47:22:452 DEBUG(File.XLS.XLSOverviewForge): Lese Spieler Garak
22:47:22:453 DEBUG(File.XLS.XLSOverviewForge): Lese Spieler Darkey
22:47:22:454 DEBUG(File.XLS.XLSOverviewForge): Lese Spieler Luumen
22:47:22:455 DEBUG(File.XLS.XLSOverviewForge): Lese Spieler Icmahel
22:47:22:456 DEBUG(File.XLS.XLSOverviewForge): Lese Spieler 226_2013_103749_32
22:47:22:457 DEBUG(File.XLS.XLSOverviewForge): Lese Spieler 319_2013_20053_559
22:47:22:458 DEBUG(File.XLS.XLSOverviewForge): Lese Spieler 303_2013_225852_36
22:47:22:459 DEBUG(File.XLS.XLSOverviewForge): Lese Spieler Norona
22:47:22:460 DEBUG(File.XLS.XLSOverviewForge): Lese Spieler Daaeva
22:47:22:461 DEBUG(File.XLS.XLSOverviewForge): Lese Spieler 361_2013_201528_897
22:47:22:462 DEBUG(File.XLS.XLSOverviewForge): Lese Spieler 3_2014_7562_899
22:47:22:463 DEBUG(File.XLS.XLSOverviewForge): Lese Spieler Christanne
22:47:22:464 DEBUG(File.XLS.XLSOverviewForge): Lese Spieler 247_2013_202354_689
22:47:22:464 DEBUG(File.XLS.XLSOverviewForge): Lese Spieler 361_2013_201449_865
22:47:22:465 DEBUG(File.XLS.XLSOverviewForge): Lese Spieler 319_2013_20022_703
22:47:22:466 DEBUG(File.XLS.XLSOverviewForge): Lese Spieler Liuleen
22:47:22:467 DEBUG(File.XLS.XLSOverviewForge): Lese Spieler Bendir
22:47:22:468 DEBUG(File.XLS.XLSOverviewForge): Lese Spieler Salfa
22:47:22:469 DEBUG(File.XLS.XLSOverviewForge): Lese Spieler 228_2013_20332_853
22:47:22:470 DEBUG(File.XLS.XLSOverviewForge): Lese Spieler 3_2014_19580_448
22:47:22:470 DEBUG(File.XLS.XLSOverviewForge): Lese Spieler 296_2013_213915_349
22:47:22:471 DEBUG(File.XLS.XLSOverviewForge): Lese Spieler 317_2013_20122_442
22:47:22:472 DEBUG(File.XLS.XLSOverviewForge): Lese Spieler Orelly
22:47:22:473 DEBUG(File.XLS.XLSOverviewForge): Lese Spieler Dinchen
22:47:22:474 DEBUG(File.XLS.XLSOverviewForge): Lese Spieler Aylea
22:47:22:475 DEBUG(File.XLS.XLSOverviewForge): Lese Spieler Savin
22:47:22:476 DEBUG(File.XLS.XLSOverviewForge): Lese Spieler Vitera
22:47:22:477 DEBUG(File.XLS.XLSOverviewForge): Lese Spieler Merida
22:47:22:478 DEBUG(File.XLS.XLSOverviewForge): Lese Spieler 15_2014_181931_413
22:47:22:478 DEBUG(File.XLS.XLSOverviewForge): Lese Spieler Damar
22:47:22:479 DEBUG(File.XLS.XLSOverviewForge): Lese Spieler Fairbrook
22:47:22:480 DEBUG(File.XLS.XLSOverviewForge): Lese Spieler 7_2014_233417_392
22:47:22:481 DEBUG(File.XLS.XLSOverviewForge): Lese Spieler 303_2013_225742_411
22:47:22:482 DEBUG(File.XLS.XLSOverviewForge): Lese Spieler Toroven
22:47:22:483 DEBUG(File.XLS.XLSOverviewForge): Lese Spieler Toranes
22:47:22:483 DEBUG(File.XLS.XLSOverviewForge): Lese Spieler Ginera
22:47:22:484 DEBUG(File.XLS.XLSBookForge): Lese Sheet(0| Overview)
22:47:22:485 INFO (File.XLS.XLSRaidForge): Lese Raid:Overview
22:47:22:486 DEBUG(File.XLS.XLSBookForge): Lese Sheet(1| 15.01.14)
22:47:22:487 INFO (File.XLS.XLSRaidForge): Lese Raid:15.01.14
22:47:22:495 DEBUG(File.XLS.XLSBookForge): Lese Sheet(2| 10.01.14)
22:47:22:496 INFO (File.XLS.XLSRaidForge): Lese Raid:10.01.14
22:47:22:498 DEBUG(File.XLS.XLSBookForge): Lese Sheet(3| 08.01.14)
22:47:22:498 INFO (File.XLS.XLSRaidForge): Lese Raid:08.01.14
22:47:22:500 DEBUG(File.XLS.XLSBookForge): Lese Sheet(4| 03.01.14)
22:47:22:501 INFO (File.XLS.XLSRaidForge): Lese Raid:03.01.14
22:47:22:503 DEBUG(File.XLS.XLSBookForge): Lese Sheet(5| 01.01.14)
22:47:22:504 INFO (File.XLS.XLSRaidForge): Lese Raid:01.01.14
22:47:22:506 DEBUG(File.XLS.XLSBookForge): Lese Sheet(6| 27.12.13)
22:47:22:507 INFO (File.XLS.XLSRaidForge): Lese Raid:27.12.13
22:47:22:509 DEBUG(File.XLS.XLSBookForge): Lese Sheet(7| 23.12.13)
22:47:22:510 INFO (File.XLS.XLSRaidForge): Lese Raid:23.12.13
22:47:22:512 DEBUG(File.XLS.XLSBookForge): Lese Sheet(8| 20.12.13)
22:47:22:512 INFO (File.XLS.XLSRaidForge): Lese Raid:20.12.13
22:47:22:514 DEBUG(File.XLS.XLSBookForge): Lese Sheet(9| 18.12.13)
22:47:22:515 INFO (File.XLS.XLSRaidForge): Lese Raid:18.12.13
22:47:22:516 DEBUG(File.XLS.XLSBookForge): Lese Sheet(10| 13.12.13)
22:47:22:517 INFO (File.XLS.XLSRaidForge): Lese Raid:13.12.13
22:47:22:519 DEBUG(File.XLS.XLSBookForge): Lese Sheet(11| 11.12.13)
22:47:22:520 INFO (File.XLS.XLSRaidForge): Lese Raid:11.12.13
22:47:22:521 DEBUG(File.XLS.XLSBookForge): Lese Sheet(12| 06.12.13)
22:47:22:522 INFO (File.XLS.XLSRaidForge): Lese Raid:06.12.13
22:47:22:524 DEBUG(File.XLS.XLSBookForge): Lese Sheet(13| 04.12.13)
22:47:22:525 INFO (File.XLS.XLSRaidForge): Lese Raid:04.12.13
22:47:22:526 DEBUG(File.XLS.XLSBookForge): Lese Sheet(14| 01.12.13)
22:47:22:527 INFO (File.XLS.XLSRaidForge): Lese Raid:01.12.13
22:47:22:529 DEBUG(File.XLS.XLSBookForge): Lese Sheet(15| 29.11.13)
22:47:22:530 INFO (File.XLS.XLSRaidForge): Lese Raid:29.11.13
22:47:22:532 DEBUG(File.XLS.XLSBookForge): Lese Sheet(16| 27.11.13)
22:47:22:533 INFO (File.XLS.XLSRaidForge): Lese Raid:27.11.13
22:47:22:535 DEBUG(File.XLS.XLSBookForge): Lese Sheet(17| 22.11.13)
22:47:22:536 INFO (File.XLS.XLSRaidForge): Lese Raid:22.11.13
22:47:22:538 DEBUG(File.XLS.XLSBookForge): Lese Sheet(18| 20.11.13)
22:47:22:539 INFO (File.XLS.XLSRaidForge): Lese Raid:20.11.13
22:47:22:541 DEBUG(File.XLS.XLSBookForge): Lese Sheet(19| 15.11.13)
22:47:22:542 INFO (File.XLS.XLSRaidForge): Lese Raid:15.11.13
22:47:22:544 DEBUG(File.XLS.XLSBookForge): Lese Sheet(20| 13.11.13)
22:47:22:544 INFO (File.XLS.XLSRaidForge): Lese Raid:13.11.13
22:47:22:547 DEBUG(File.XLS.XLSBookForge): Lese Sheet(21| 08.11.13)
22:47:22:548 INFO (File.XLS.XLSRaidForge): Lese Raid:08.11.13
22:47:22:550 DEBUG(File.XLS.XLSBookForge): Lese Sheet(22| 06.11.13)
22:47:22:551 INFO (File.XLS.XLSRaidForge): Lese Raid:06.11.13
22:47:22:553 DEBUG(File.XLS.XLSBookForge): Lese Sheet(23| 30.10.13)
22:47:22:554 INFO (File.XLS.XLSRaidForge): Lese Raid:30.10.13
22:47:22:556 DEBUG(File.XLS.XLSBookForge): Lese Sheet(24| 25.10.13)
22:47:22:557 INFO (File.XLS.XLSRaidForge): Lese Raid:25.10.13
22:47:22:559 DEBUG(File.XLS.XLSBookForge): Lese Sheet(25| 23.10.13)
22:47:22:560 INFO (File.XLS.XLSRaidForge): Lese Raid:23.10.13
22:47:22:562 DEBUG(File.XLS.XLSBookForge): Lese Sheet(26| 16.10.13)
22:47:22:563 INFO (File.XLS.XLSRaidForge): Lese Raid:16.10.13
22:47:22:566 DEBUG(File.XLS.XLSBookForge): Lese Sheet(27| 11.10.13)
22:47:22:567 INFO (File.XLS.XLSRaidForge): Lese Raid:11.10.13
22:47:22:569 DEBUG(File.XLS.XLSBookForge): Lese Sheet(28| 09.10.13)
22:47:22:569 INFO (File.XLS.XLSRaidForge): Lese Raid:09.10.13
22:47:22:571 DEBUG(File.XLS.XLSBookForge): Lese Sheet(29| 04.10.13)
22:47:22:572 INFO (File.XLS.XLSRaidForge): Lese Raid:04.10.13
22:47:22:573 DEBUG(File.XLS.XLSBookForge): Lese Sheet(30| 02.10.13)
22:47:22:574 INFO (File.XLS.XLSRaidForge): Lese Raid:02.10.13
22:47:22:576 DEBUG(File.XLS.XLSBookForge): Lese Sheet(31| 27.09.13)
22:47:22:577 INFO (File.XLS.XLSRaidForge): Lese Raid:27.09.13
22:47:22:578 DEBUG(File.XLS.XLSBookForge): Lese Sheet(32| 25.09.13)
22:47:22:579 INFO (File.XLS.XLSRaidForge): Lese Raid:25.09.13
22:47:22:580 DEBUG(File.XLS.XLSBookForge): Lese Sheet(33| 21.09.13)
22:47:22:581 INFO (File.XLS.XLSRaidForge): Lese Raid:21.09.13
22:47:22:583 DEBUG(File.XLS.XLSBookForge): Lese Sheet(34| 18.09.13)
22:47:22:583 INFO (File.XLS.XLSRaidForge): Lese Raid:18.09.13
22:47:22:585 DEBUG(File.XLS.XLSBookForge): Lese Sheet(35| 13.09.13)
22:47:22:586 INFO (File.XLS.XLSRaidForge): Lese Raid:13.09.13
22:47:22:588 DEBUG(File.XLS.XLSBookForge): Lese Sheet(36| 11.09.13)
22:47:22:588 INFO (File.XLS.XLSRaidForge): Lese Raid:11.09.13
22:47:22:590 DEBUG(File.XLS.XLSBookForge): Lese Sheet(37| 06.09.13)
22:47:22:591 INFO (File.XLS.XLSRaidForge): Lese Raid:06.09.13
22:47:22:592 DEBUG(File.XLS.XLSBookForge): Lese Sheet(38| 04.09.13)
22:47:22:593 INFO (File.XLS.XLSRaidForge): Lese Raid:04.09.13
22:47:22:596 DEBUG(File.XLS.XLSBookForge): Lese Sheet(39| 30.08.13)
22:47:22:596 INFO (File.XLS.XLSRaidForge): Lese Raid:30.08.13
22:47:22:598 DEBUG(File.XLS.XLSBookForge): Lese Sheet(40| 28.08.13)
22:47:22:599 INFO (File.XLS.XLSRaidForge): Lese Raid:28.08.13
22:47:22:601 DEBUG(File.XLS.XLSBookForge): Lese Sheet(41| 23.08.13)
22:47:22:602 INFO (File.XLS.XLSRaidForge): Lese Raid:23.08.13
22:47:22:603 DEBUG(File.XLS.XLSBookForge): Lese Sheet(42| 21.08.13)
22:47:22:604 INFO (File.XLS.XLSRaidForge): Lese Raid:21.08.13
22:47:22:605 DEBUG(File.XLS.XLSBookForge): Lese Sheet(43| 16.08.13)
22:47:22:606 INFO (File.XLS.XLSRaidForge): Lese Raid:16.08.13
22:47:22:608 DEBUG(File.XLS.XLSBookForge): Lese Sheet(44| 14.08.13)
22:47:22:608 INFO (File.XLS.XLSRaidForge): Lese Raid:14.08.13
22:47:22:610 DEBUG(File.XLS.XLSBookForge): Lese Sheet(45| 09.08.13)
22:47:22:611 INFO (File.XLS.XLSRaidForge): Lese Raid:09.08.13
22:47:22:612 DEBUG(File.XLS.XLSBookForge): Lese Sheet(46| 07.08.13)
22:47:22:613 INFO (File.XLS.XLSRaidForge): Lese Raid:07.08.13
22:47:22:614 DEBUG(File.XLS.XLSBookForge): Lese Sheet(47| 02.08.13)
22:47:22:615 INFO (File.XLS.XLSRaidForge): Lese Raid:02.08.13
